product_name,price,old_price,discount,product_url,image_url,rating
, 17499,,,https://www.jumia.co.ke/hp-refurbished-mt31-mobile-thin-client-intel-celeron-3867u-13.3-hd-4gb-ram-128gb-ssd-500gb-hdd-windows-11-pro-312651464.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/4156213/1.jpg?1521,
, 44999,,10%,https://www.jumia.co.ke/hp-refurbished-elitebook-1030-g2-x360-core-i7-16gb-512gb-ssd-2in1-13.3-touchscreen-fhd-bag-306745441.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/4547603/1.jpg?5110,
, 28900,,28%,https://www.jumia.co.ke/hp-refurbished-elitebook-840-g3-16gb-512gb-ssd-14-inch-core-i5-6th-gen-win-10-278883797.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/7388872/1.jpg?7861,
, 37900,,24%,https://www.jumia.co.ke/hp-refurbished-elitebook-folio-1040-g3-core-i7-16gb-ram-256gb-ssd-6th-gen-touchscreen-14-ultrabook-laptop-.-304696299.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/2696403/1.jpg?7532,
, 42790,,29%,https://www.jumia.co.ke/hp-refurbished-elitebook-830-g7-core-i5-16gb-512gb-ssd-10th-gen-13.3-inch-fhd-touchscreen-laptop-bacpack-bag-307243859.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/8342703/1.jpg?9648,
, 42999,,28%,https://www.jumia.co.ke/hp-refurbished-elitebook-840-g6-core-i7-16gb-ram-256gb-ssd-8th-gen-14inch-ultra-slim-laptop-bag.-168553664.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/6355861/1.jpg?1045,
, 26900,,10%,https://www.jumia.co.ke/hp-refurbished-probook-430-g6-core-i5-8th-gen-8gb-256gb-ssd-13.3-inch-ultrabook-laptop-306428405.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/4824603/1.jpg?1607,
, 13900,,31%,https://www.jumia.co.ke/lenovo-refurbished-300e-x360-8gb-128gb-ssd-11.6-touchscreen-intel-pentium-9th-gen-windows-11-pro-slim-laptop-bag-312399614.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/6993213/1.jpg?3820,
, 10500,,48%,https://www.jumia.co.ke/hp-stream-11-pro-refurbished-11.6-intel-celeron-4gb-ram-64gb-ssd-ultra-slim-laptop-mouse-306829189.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/1928603/1.jpg?9767,
, 22900,,43%,https://www.jumia.co.ke/refurbished-elitebook-840-g3-core-i5-8gb-256gb-ssd-14-inch-6th-gen-win-10-laptop-bag-hp-mpg1291458.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/7272161/1.jpg?4325,
